29-04-2022,Dahibara,Food and Dining,Unnamed: 0,30.00
29-04-2022,Masala,Food and Dining,,30.00
29-04-2022,Tela,Food and Dining,,120.00
29-04-2022,Freeze,Maintenance,,413.00
29-04-2022,Milk,Food and Dining,,46.00
29-04-2022,Safolla,Food and Dining,,190.00
,,,0.00,"1,429.00"
,,,"₹108,386.00","₹143,610.00"
,,,"Savings = -₹35,224.00",
